date,daily new
30-01-2020,1
31-01-2020,0
01-02-2020,0
02-02-2020,1
03-02-2020,1
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,2
03-03-2020,0
04-03-2020,23
05-03-2020,2
06-03-2020,1
07-03-2020,3
08-03-2020,5
09-03-2020,4
10-03-2020,13
11-03-2020,6
12-03-2020,11
13-03-2020,9
14-03-2020,20
15-03-2020,11
16-03-2020,6
17-03-2020,23
18-03-2020,14
19-03-2020,38
20-03-2020,50
21-03-2020,86
22-03-2020,66
23-03-2020,103
24-03-2020,37
25-03-2020,121
26-03-2020,70
27-03-2020,160
28-03-2020,100
29-03-2020,37
30-03-2020,227
31-03-2020,146
01-04-2020,601
02-04-2020,545
03-04-2020,24
04-04-2020,515
05-04-2020,506
06-04-2020,1190
07-04-2020,533
08-04-2020,605
09-04-2020,809
10-04-2020,873
11-04-2020,848
12-04-2020,759
13-04-2020,1248
14-04-2020,1034
15-04-2020,835
16-04-2020,1108
17-04-2020,922
18-04-2020,1370
19-04-2020,1893
20-04-2020,924
21-04-2020,1541
22-04-2020,1290
23-04-2020,1707
24-04-2020,1453
25-04-2020,1753
26-04-2020,1607
27-04-2020,1561
28-04-2020,1873
29-04-2020,1738
30-04-2020,1801
01-05-2020,2394
02-05-2020,2442
03-05-2020,2806
04-05-2020,3932
05-05-2020,2963
06-05-2020,3587
07-05-2020,3364
08-05-2020,3344
09-05-2020,3113
10-05-2020,4353
11-05-2020,3607
12-05-2020,3524
13-05-2020,3763
14-05-2020,3942
15-05-2020,3787
16-05-2020,4864
17-05-2020,5050
18-05-2020,4630
19-05-2020,6147
20-05-2020,5553
21-05-2020,6198
22-05-2020,6568
23-05-2020,6629
24-05-2020,7113
25-05-2020,6414
26-05-2020,5843
27-05-2020,7293
28-05-2020,7300
29-05-2020,8105
30-05-2020,8336
31-05-2020,8782
01-06-2020,7761
02-06-2020,8821
03-06-2020,9633
04-06-2020,9889
05-06-2020,9471
06-06-2020,10438
07-06-2020,10864
08-06-2020,8442
09-06-2020,10218
10-06-2020,10459
11-06-2020,10930
12-06-2020,11458
13-06-2020,11929
14-06-2020,11502
15-06-2020,10667
16-06-2020,10974
17-06-2020,12881
18-06-2020,13586
19-06-2020,14516
20-06-2020,15403
21-06-2020,14831
22-06-2020,14933
23-06-2020,15968
24-06-2020,16922
25-06-2020,17296
26-06-2020,18552
27-06-2020,19906
28-06-2020,19459
29-06-2020,18522
30-06-2020,18641
01-07-2020,19160
02-07-2020,20903
03-07-2020,22771
04-07-2020,24850
05-07-2020,24248
06-07-2020,22251
07-07-2020,22753
08-07-2020,24879
09-07-2020,26506
10-07-2020,27114
11-07-2020,28606
12-07-2020,28732
13-07-2020,28498
14-07-2020,29429
15-07-2020,32676
16-07-2020,34975
17-07-2020,35252
18-07-2020,38697
19-07-2020,40425
20-07-2020,37132
21-07-2020,37740
22-07-2020,45720
23-07-2020,49310
24-07-2020,48916
25-07-2020,48611
26-07-2020,49981
27-07-2020,44457
28-07-2020,51596
29-07-2020,50294
30-07-2020,52783
31-07-2020,61242
01-08-2020,54735
02-08-2020,52972
03-08-2020,52050
04-08-2020,52509
05-08-2020,56282
06-08-2020,62538
07-08-2020,61537
08-08-2020,64399
09-08-2020,62064
10-08-2020,53601
11-08-2020,60963
12-08-2020,66999
13-08-2020,64553
14-08-2020,64732
15-08-2020,64030
16-08-2020,57711
17-08-2020,55018
18-08-2020,64572
19-08-2020,69672
20-08-2020,68900
21-08-2020,69876
22-08-2020,69239
23-08-2020,61408
24-08-2020,60975
25-08-2020,57224
26-08-2020,85687
27-08-2020,77266
28-08-2020,76472
29-08-2020,78761
30-08-2020,78512
31-08-2020,69921
01-09-2020,78357
02-09-2020,83883
03-09-2020,83341
04-09-2020,86432
05-09-2020,90632
06-09-2020,90802
07-09-2020,75809
08-09-2020,89706
09-09-2020,95735
10-09-2020,96551
11-09-2020,97570
12-09-2020,94372
13-09-2020,92071
14-09-2020,83809
15-09-2020,90123
16-09-2020,97894
17-09-2020,96424
18-09-2020,93337
19-09-2020,92605
20-09-2020,86961
21-09-2020,75083
22-09-2020,83347
23-09-2020,86508
24-09-2020,86052
25-09-2020,85362
26-09-2020,88600
27-09-2020,82170
28-09-2020,70589
29-09-2020,80472
30-09-2020,86821
01-10-2020,81484
02-10-2020,79476
03-10-2020,75829
04-10-2020,74442
05-10-2020,61267
06-10-2020,72049
07-10-2020,78524
08-10-2020,70496
09-10-2020,73272
10-10-2020,74383
11-10-2020,66732
12-10-2020,55342
13-10-2020,63509
14-10-2020,67708
15-10-2020,63371
16-10-2020,62212
17-10-2020,61871
18-10-2020,55722
19-10-2020,46790
20-10-2020,54044
21-10-2020,55839
22-10-2020,54366
23-10-2020,53370
24-10-2020,50129
25-10-2020,45148
26-10-2020,36470
27-10-2020,43893
28-10-2020,49881
29-10-2020,48648
30-10-2020,48268
31-10-2020,46963
01-11-2020,45231
02-11-2020,38310
03-11-2020,46253
04-11-2020,50210
05-11-2020,47638
06-11-2020,50356
07-11-2020,45674
08-11-2020,45903
09-11-2020,38073
10-11-2020,44281
11-11-2020,47905
12-11-2020,44879
13-11-2020,44684
14-11-2020,41100
15-11-2020,30548
16-11-2020,29163
17-11-2020,38617
18-11-2020,45576
19-11-2020,45882
20-11-2020,46232
21-11-2020,45209
22-11-2020,44059
23-11-2020,37975
24-11-2020,44376
25-11-2020,44489
26-11-2020,43082
27-11-2020,41322
28-11-2020,41810
29-11-2020,38772
30-11-2020,31118
01-12-2020,36604
02-12-2020,35551
03-12-2020,36595
04-12-2020,36652
05-12-2020,36011
06-12-2020,32981
07-12-2020,26567
08-12-2020,32080
09-12-2020,31521
10-12-2020,29373
11-12-2020,30031
12-12-2020,30254
13-12-2020,27071
14-12-2020,22065
15-12-2020,26382
16-12-2020,24010
17-12-2020,22890
18-12-2020,25152
19-12-2020,26624
20-12-2020,24337
21-12-2020,19556
22-12-2020,23950
23-12-2020,24712
24-12-2020,23067
25-12-2020,22273
26-12-2020,18732
27-12-2020,20021
28-12-2020,16432
29-12-2020,20549
30-12-2020,21822
31-12-2020,0
01-01-2021,20035
02-01-2021,37256
03-01-2021,16504
04-01-2021,16375
05-01-2021,18088
06-01-2021,20346
07-01-2021,18139
08-01-2021,0
09-01-2021,36867
10-01-2021,16311
11-01-2021,12584
12-01-2021,15968
13-01-2021,16946
14-01-2021,15590
15-01-2021,15158
16-01-2021,15144
17-01-2021,13788
18-01-2021,10050
19-01-2021,13816
20-01-2021,15244
21-01-2021,14545
22-01-2021,14256
23-01-2021,14849
24-01-2021,13203
25-01-2021,9102
26-01-2021,12689
27-01-2021,11666
28-01-2021,18855
29-01-2021,13082
30-01-2021,13044
31-01-2021,11436
01-02-2021,8635
02-02-2021,11039
03-02-2021,12899
04-02-2021,12408
05-02-2021,11713
06-02-2021,12059
07-02-2021,11831
08-02-2021,9110
09-02-2021,11067
10-02-2021,12923
11-02-2021,9309
12-02-2021,12143
13-02-2021,12194
14-02-2021,11649
15-02-2021,9121
16-02-2021,11610
17-02-2021,12881
18-02-2021,13193
19-02-2021,13993
20-02-2021,14264
21-02-2021,14199
22-02-2021,10584
23-02-2021,13742
24-02-2021,16738
25-02-2021,16577
26-02-2021,16488
27-02-2021,16752
28-02-2021,15510
01-03-2021,12286
02-03-2021,14989
03-03-2021,17407
04-03-2021,16838
05-03-2021,18284
06-03-2021,18754
07-03-2021,18599
08-03-2021,15388
09-03-2021,17921
10-03-2021,22854
11-03-2021,23285
12-03-2021,24882
13-03-2021,25320
14-03-2021,26291
15-03-2021,24492
16-03-2021,28903
17-03-2021,35871
18-03-2021,39726
19-03-2021,40953
20-03-2021,43846
21-03-2021,46951
22-03-2021,40715
23-03-2021,47262
24-03-2021,53476
25-03-2021,59118
26-03-2021,62258
27-03-2021,62714
28-03-2021,68020
29-03-2021,56211
30-03-2021,53480
31-03-2021,72330
01-04-2021,81466
02-04-2021,89129
03-04-2021,93249
04-04-2021,103558
05-04-2021,96982
06-04-2021,115736
07-04-2021,126789
08-04-2021,131968
09-04-2021,145384
10-04-2021,152879
11-04-2021,168912
12-04-2021,161736
13-04-2021,184372
14-04-2021,200739
15-04-2021,217353
16-04-2021,234692
17-04-2021,261394
18-04-2021,273802
19-04-2021,259167
20-04-2021,295158
21-04-2021,314644
22-04-2021,332921
23-04-2021,346786
24-04-2021,349691
25-04-2021,352991
26-04-2021,323023
27-04-2021,360927
28-04-2021,379308
29-04-2021,386555
30-04-2021,401993